"id","question","A","B","C","D","weight"
"1","周末突然空出来，你第一反应是：","订票去个没去过的地方","拉一个挑战目标","约人一起走","先把手头事安排好","1"
"2","你开始一个新项目最看重：","新鲜感","能证明自己","搭档/团队感","可控性","1"
"3","朋友说走就走旅行，你会：","立刻加入","看是否有收获","看能否更亲近","先评估风险","1"
"4","你最难坚持的是：","重复和限制","看不到成果","缺少陪伴","不确定性","1"
"5","做决定时你的第一反应是：","跟随好奇","追求更高成就","先想对他人影响","先算成本收益","1"
"6","你低谷期更倾向：","换环境","设目标冲刺","找人聊聊","把节奏稳住","1"
"7","你最愿意花钱在：","体验/旅行","技能/装备","人情/礼物","储蓄/保障","1"
"8","关系里你最在意：","空间自由","被认可","情感连接","安全感","1"
"9","你更喜欢的内容风格：","新奇观点","干货方法","故事共鸣","逻辑规划","1"
"10","工作里你最讨厌：","一成不变","评价不公平","冷漠竞争","混乱无序","1"
"11","如果一年只能完成一件事：","去一个地方长住","完成代表作","维持一段深关系","存下一笔钱","1"
"12","未来三个月你更想：","体验新事","拿到结果/认证","扩大圈子","建立稳定习惯","1"
"13","你最容易被哪个瞬间点燃：","“走！现在就去”","“这事能赢”","“他懂我”","“这事靠谱”","1"
"14","你对“稳定”更像：","觉得束缚","觉得无聊","觉得安心","觉得必须","1"
"15","你做选择最怕的是：","没见到新的东西","没有成就感","被误解/疏远","失控/后悔","1"
"16","你在团队里更像：","破冰/点子","目标/推进","氛围/连接","规则/保障","1"
"17","面对压力，你更可能：","逃离现场","进入战斗","寻求陪伴","先稳住局面","1"
"18","你更愿意被人记住为：","有趣又自由","能打又靠谱","温暖又真诚","稳定又踏实","1"
"19","你对“承诺”的态度：","先看感受","先看价值","先看关系","先看条件","1"
"20","如果突然有一笔闲钱，你会：","拿去体验","投入进阶","用来维系关系","做长期规划","1"
"21","你喜欢的社交节奏：","松散随缘","高效有目标","深度但不多","稳定低频","1"
"22","你最想摆脱的标签：","不专一","太强势","太在意别人","太保守","1"
"23","当你犹豫时，最能推你一把的是：","一个新机会","一个高回报","一个懂你的人","一个可执行计划","1"
"24","你做完一件事最想得到：","新鲜体验感","结果与认可","关系更近","更稳的节奏","1"
"25","收到一个完全自由的三天假期，你会：","去陌生城市","设一个挑战清单","约重要的人","好好休息+整理","1"
"26","你最愿意长期坚持的习惯是：","体验新事","目标复盘","记录关系/心情","固定作息/记账","1"
"27","学习新技能时你最需要：","先玩起来","明确等级/证书","同伴一起","清晰路径","1"
"28","你对“规则”的态度更像：","能绕就绕","当成挑战","看它对关系影响","遵守更安心","1"
"29","发生冲突时你更可能：","暂时退开","直接对上","调和气氛","冷静解决","1"
"30","你理想的生活节奏是：","多变快感","高强度+阶段性休整","稳定社交+适度独处","规律慢慢来","1"
"31","你最怕错过的是：","新体验","机会窗口","情感连接","安全基底","1"
"32","如果要做一场分享，你会选：","旅行/见闻","成果/方法","故事/关系","框架/流程","1"
"33","评价一次旅行成功的标准是：","新鲜感","完成挑战","与人更亲","安全舒适","1"
"34","你更想拥有的能力是：","快速适应","结果掌控","深度连接","风险管理","1"
"35","你看重的“自由”更像：","行动自由","选择自由","情感自由","生活自由","1"
"36","未来一年你最想得到：","见更大的世界","拿到一个硬成果","留下更重要的人","建立稳定系统","1"
